('62.212.226.0/24', 'ATTENTIONIncreased Listingrisk')
('85.132.17.0/24', 'ATTENTIONIncreased Listingrisk')
('85.132.27.0/24', 'LISTED')
('85.132.65.0/24', 'ATTENTIONIncreased Listingrisk')
('85.132.79.0/24', 'ATTENTIONIncreased Listingrisk')
('85.132.106.0/24', 'LISTED')
('85.132.110.0/24', 'WARNINGHigh Listingrisk')
('94.20.45.0/24', 'ATTENTIONIncreased Listingrisk')
('94.20.48.0/24', 'WARNINGHigh Listingrisk')
('94.20.62.0/24', 'LISTED')
('94.20.152.0/24', 'ATTENTIONIncreased Listingrisk')
('94.20.208.0/21', 'LISTED')
